address,reason
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,"([], 'No qualifying breakouts')"
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,"([], 'No qualifying breakouts')"
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,"([], 'No qualifying breakouts')"
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,"([], 'No qualifying breakouts')"
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,"([], 'No qualifying breakouts')"
7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,"([], 'No qualifying breakouts')"
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,"([], 'No qualifying breakouts')"
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,"([], 'No qualifying breakouts')"
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,"([], 'No qualifying breakouts')"
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,"([], 'No qualifying breakouts')"
ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,"([], 'No qualifying breakouts')"
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,"([], 'No qualifying breakouts')"
HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,"([], 'No qualifying breakouts')"
7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,"([], 'No qualifying breakouts')"
5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,"([], 'No qualifying breakouts')"
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,"([], 'No qualifying breakouts')"
3psH1Mj1f7yUfaD5gh6Zj7epE8hhrMkMETgv5TshQA4o,"([], 'No qualifying breakouts')"
FU1q8vJpZNUrmqsciSjp8bAKKidGsLmouB8CBdf8TKQv,"([], 'No qualifying breakouts')"
6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,"([], 'No qualifying breakouts')"
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,"([], 'No qualifying breakouts')"
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,"([], 'No qualifying breakouts')"
347k5f1WLRYe81roRcLBWDR6k3eCRunaqetQPW6pbonk,"([], 'No qualifying breakouts')"
8vCAUbxejdtaxn6jnX5uaQTyTZLmXALg9u1bvFCAjtx7,"([], 'No qualifying breakouts')"
DjAbfe6EjhvZs4RAajYs8r3jcC1cFqqK4beTfGS7Lidd,"([], 'No qualifying breakouts')"
4M79Qjv2Jfjmcq19M41V8QFYohBv2KrgEn9dJhVtpump,"([], 'No qualifying breakouts')"
XCXv9WPumiRRWZP8ZgnFDVogPTvzT6j8SVJFvQNpump,"([], 'No qualifying breakouts')"
e5KDHjKpDE5LZESPFfTU27fa5G8BKRWHH8iuQ8Kpump,"([], 'No qualifying breakouts')"
D8wLsSr9xFa8vS96tMK1rvckQRoEbH5XLRhqMRoXTbUr,"([], 'No qualifying breakouts')"
Bhu2wBWxfWkRJ6pFn5NodnEvMCqj9DLfCU5qMvt7pump,"([], 'No qualifying breakouts')"
7BMb4jNt2tQG81jX7W22H2h2UyL4SW9QJgz25HRhpump,"([], 'No qualifying breakouts')"
DRVM9vP5coW4WHsNv1kajhn55duyuua4cJ9NGkSApump,"([], 'No qualifying breakouts')"
AnXE9mZYWReqBw4v5HrY2S2utt42uEtcBGmuCXASvRAi,"([], 'No qualifying breakouts')"
ke7MBNmmhXDegLgAbaVboquYiPYb1SagGpSazDapump,"([], 'No qualifying breakouts')"
S9Ch9kTBPZmTnLFA2byYn7dhZjCDyReGxDRZUoUbonk,"([], 'No qualifying breakouts')"
AMEdarx3ryELQsFVNynCQdC6ABi94x8whxGjbmXBpump,"([], 'No qualifying breakouts')"
9So37icWcKmuMGFPPR36a82Q1E5gZJ6HFSz7Eynfpump,"([], 'No qualifying breakouts')"
BPmhpSLEFM1oMfG43WoY44731yvMeN1eVeKhRP4T2hMp,"([], 'No qualifying breakouts')"
jUpa2aDCzvdR9EF4fqDXmuyMUkonPTohphABLmRkRFj,"([], 'No qualifying breakouts')"
9SpP3JGB2PSryeXEE4evV2oMAXcy8R5Ay1JteBzZpump,"([], 'No qualifying breakouts')"
5vSuxSJhyGXD4wNTrXS4P1gWmLUjCc3zLkE7rE8Pbonk,"([], 'No qualifying breakouts')"
8J6CexwfJ8CSzn2DgWhzQe1NHd2hK9DKX59FCNNMo2hu,"([], 'No qualifying breakouts')"
